Variable,Label
key3,Business owner id(to identify the owner/s training section 'ee'
key2,Unique Submission ID for the Establishment
ls_index,Business owner line number
a_41,Please enter the Business ID.
county11,
eb01_1,Section 
eb01_2,EB01_2 Please select the ISIC Division.
eb03,EB03 Where is the business located?
eb04,EB04 How appropriate is the site with regards to getting customers?
eb05,EB05 What is the biggest risk of tenancy to this business site?
eb06,EB06 Who provides security for your business?
eb07,EB07 What is the type of the main structure?
eb08,EB08 What is the nature of ownership of this business site?
eb09,EB09 What is the nature of Occupancy of this business?
eb10,EB10 Please enter the number of months per year
eb11,EB11 Please enter the number of days per week
eb12,EB12 Please enter the number of hours per day
eb13,EB13 Please enter the number of businesses
eb14_1,Section 
eb14_2,EB14_2 Please select the ISIC Division.
eb15,EB15 Please enter the number of businesses
eb16_1,EB16 Who is the main decision maker for this business?
eb17,EB17 Has your business changed its main activity in the last 12 months?
eb18_1,Section 
eb18_2,EB18_2 Please select the ISIC Division.
eb19,EB19 Why did you change from your previous business?
ec01,EC01 How many male working owners are there in the business?
ec02,EC02 How many female working owners are there in the business?
hhe_fulltime,Does the business employ any FULL TIME PAID employees?
ec03,EC03 Number of full time paid employees - Male - 5 - 12 years
ec04,EC04 Number of full time paid employees - Female - 5 - 12 years
ec05,EC05 Number of full time paid employees - Male -13 - 15 years
ec06,EC06 Number of full time paid employees - Female-13 - 15 years
ec07,EC07 Number of full time paid employees - Male -16 - 17 years
ec08,EC08 Number of full time paid employees - Female-16 - 17 years
ec09,EC09 Number of full time paid employees - Male - 18-35 years
ec10,EC10 Number of full time paid employees - Female - 18-35 years
ec11,EC11 Number of full time paid employees - Male - 36+ years
ec12,EC12 Number of full time paid employees - Female - 36+ years
hhe_unpaid_fam,Does the business employ any UNPAID FAMILY workers?
ec13,EC13 Number of unpaid family workers - Male- 5 - 12 years
ec14,EC14 Number of unpaid family workers - Female- 5 - 12 years
ec15,EC15 Number of unpaid family workers - Male -13 - 15 years
ec16,EC16 Number of unpaid family workers - Female -13 - 15 years
ec17,EC17 Number of unpaid family workers - Male -16 - 17 years
ec18,EC18 Number of unpaid family workers - Female -16 - 17 years
ec19,EC19 Number of unpaid family workers - Male- 18-35 years
ec20,EC20 Number of unpaid family workers - Female - 18-35 years
ec21,EC21 Number of unpaid family workers - Male- 36+ years
ec22,EC22 Number of unpaid family workers - Female - 36+ years
hhe_apprentice,"Does the business employ any ATTACHEES, INTERNS OR APPRENTICE workers?"
ec23,EC23 Number of apprentices - Male- 5 - 12 years
ec24,EC24 Number of apprentices - Female- 5 - 12 years
ec25,EC25 Number of apprentices - Male-13 - 15 years
ec26,EC26 Number of apprentices - Female-13 - 15 years
ec27,EC27 Number of apprentices - Male-16 - 17 years
ec28,EC28 Number of apprentices - Female-16 - 17 years
ec29,EC29 Number of apprentices - Male - 18-35 years
ec30,EC30 Number of apprentices - Female- 18-35 years
ec31,EC31 Number of apprentices - Male - 36+ years
ec32,EC32 Number of apprentices - Female- 36+ years
hhe_parttime,Does the business employ any PART TIME REGULAR workers?
ec33,EC33 Number of part-time regular employees - Male- 5 - 12 years
ec34,EC34 Number of part-time regular employees - Female - 5 - 12 years
ec35,EC35 Number of part-time regular employees - Male-13 - 15 years
