Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,License URL
IC.FRM.FCHAR.CAR1,CC BY-4.0,Age of the establishment (years),Age of the firm based on the year in which the firm began operations.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Firm Characteristics,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.EMP.GROW.PEFT2,CC BY-4.0,Annual employment growth (%),"Annualized growth of permanent full-time workers expressed as a percentage. Annual employment growth is the change in full-time employment reported in the current fiscal year from a previous period. For most countries the difference between the two fiscal year periods is two years. However, for some countries the interval is three years. Hence, an annualized measure is used.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Performance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.BRIB.GRAFT2,CC BY-4.0,Bribery depth (% of public transactions where a gift or informal payment was requested),"The depth of Bribery is the percentage of instances in which a firm was either expected or requested to provide a gift or informal payment during solicitations for public services, licenses or permits. This measure uses data from 6 survey questions for each firm. For purposes of computation, a refusal to answer a particular survey question is considered an affirmative answer.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Corruption,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.BRIB.GRAFT3,CC BY-4.0,Bribery incidence (percent of firms experiencing at least one bribe payment request),"The percent of firms experiencing at least one bribe payment request across 6 public transactions dealing with utilities access, permits, licenses, and taxes.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Corruption,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INNOV.T3,CC BY-4.0,Capacity utilization (%)*,Capacity utilization based on comparison of the current output with the maximum output possible using the current inputs.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Performance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.TRD.TR1,CC BY-4.0,Days to clear direct exports through customs,Average number of days to clear direct exports through customs.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Trade,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.TRD.TR2,CC BY-4.0,Days to clear imports from customs*,Average number of days to clear imports from customs.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Trade,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.REG.BUS3,CC BY-4.0,Days to obtain a construction-related permit,"Average wait, in days, to obtain construction-related permit.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Regulations and Taxes,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INFRA.IN1,CC BY-4.0,Days to obtain an electrical connection (upon application),"Average wait, in days, experienced to obtain electrical connection from the day this establishment applied for it to the day it received the service.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Infrastructure,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.REG.BUS1,CC BY-4.0,Days to obtain an import license,"Average wait, in days, to obtain import license.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Regulations and Taxes,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
