eh01_1,eh15_1,eh04_1,eh09,en01,en01b,eh01_1_clean,eh15_1_clean,eh04_1_clean,net_income_margin,revenue_change_ratio,business_closed,number_closed_establishments,revenue_decline,zero_or_missing_net_income,low_revenue,financial_risk_score,business_performance_score
0.0,7500.0,10000.0,Good,No,,0.0,7500.0,10000.0,1.3333333333333333,0.0,0,,1,0,1,2,2.0
39000.0,9750.0,50000.0,Bad,No,,39000.0,9750.0,50000.0,5.128205128205129,4.0,0,,0,0,0,0,0.0
6825.0,6825.0,,Normal,No,,6825.0,6825.0,,,1.0,0,,0,1,1,2,1.0
2925.0,2925.0,5000.0,Normal,No,,2925.0,2925.0,5000.0,1.7094017094017093,1.0,0,,0,0,1,1,1.0
-19.11,-19.11,1000.0,N/A (business younger than 1 month),No,,,,1000.0,,,0,,0,0,0,0,
133380.0,126750.0,120000.0,Good,No,,133380.0,126750.0,120000.0,0.9467455621301775,1.0523076923076924,0,,0,0,0,0,2.0
2535.0,2340.0,3500.0,Good,No,,2535.0,2340.0,3500.0,1.4957264957264957,1.0833333333333333,0,,0,0,1,1,2.0
9000.0,,,Normal,No,,9000.0,,,,,0,,0,1,1,2,1.0
54600.0,45630.0,25000.0,Normal,No,,54600.0,45630.0,25000.0,0.5478851632697787,1.1965811965811965,0,,0,0,0,0,1.0
,,100000.0,Normal,No,,,,100000.0,,,0,,0,0,0,0,1.0
29250.0,29250.0,80000.0,Normal,No,,29250.0,29250.0,80000.0,2.735042735042735,1.0,0,,0,0,0,0,1.0
9750.0,-19.11,15000.0,Bad,Yes,1.0,9750.0,,15000.0,,,1,1.0,0,0,1,1,0.0
877500.0,97500.0,700000.0,Bad,No,,877500.0,97500.0,700000.0,7.17948717948718,9.0,0,,0,0,0,0,0.0
,9000.0,15000.0,Bad,Yes,1.0,,9000.0,15000.0,1.6666666666666667,,1,1.0,0,0,0,0,0.0
21000.0,26250.0,14000.0,Normal,No,,21000.0,26250.0,14000.0,0.5333333333333333,0.8,0,,1,0,0,1,1.0
,15600.0,50000.0,Normal,No,,,15600.0,50000.0,3.2051282051282053,,0,,0,0,0,0,1.0
3120.0,3120.0,8000.0,Normal,No,,3120.0,3120.0,8000.0,2.5641025641025643,1.0,0,,0,0,1,1,1.0
3900.0,1950.0,10000.0,Normal,No,,3900.0,1950.0,10000.0,5.128205128205129,2.0,0,,0,0,1,1,1.0
48750.0,48750.0,,Normal,No,,48750.0,48750.0,,,1.0,0,,0,1,0,1,1.0
29250.0,4875.0,30000.0,Normal,No,,29250.0,4875.0,30000.0,6.153846153846154,6.0,0,,0,0,0,0,1.0
4875.0,4875.0,12000.0,Normal,No,,4875.0,4875.0,12000.0,2.4615384615384617,1.0,0,,0,0,1,1,1.0
0.0,7800.0,40000.0,N/A (business younger than 1 month),No,,0.0,7800.0,40000.0,5.128205128205129,0.0,0,,1,0,1,2,
588000.0,450000.0,1960000.0,Good,No,,588000.0,450000.0,1960000.0,4.355555555555555,1.3066666666666666,0,,0,0,0,0,2.0
30000.0,21000.0,70000.0,Normal,No,,30000.0,21000.0,70000.0,3.3333333333333335,1.4285714285714286,0,,0,0,0,0,1.0
900.0,900.0,0.0,Bad,No,,900.0,900.0,0.0,0.0,1.0,0,,0,1,1,2,0.0
6300.0,7560.0,189000.0,Normal,No,,6300.0,7560.0,189000.0,25.0,0.8333333333333334,0,,1,0,1,2,1.0
1386.0,1386.0,25000.0,Normal,No,,1386.0,1386.0,25000.0,18.037518037518037,1.0,0,,0,0,1,1,1.0
7560.0,7686.0,12340.0,Normal,No,,7560.0,7686.0,12340.0,1.6055165235493105,0.9836065573770492,0,,1,0,1,2,1.0
90000.0,30000.0,100000.0,Normal,No,,90000.0,30000.0,100000.0,3.3333333333333335,3.0,0,,0,0,0,0,1.0
126750.0,126750.0,10000.0,Normal,No,,126750.0,126750.0,10000.0,0.07889546351084813,1.0,0,,0,0,0,0,1.0
-19.11,-19.11,2500.0,Bad,No,,,,2500.0,,,0,,0,0,0,0,0.0
30000.0,27000.0,40000.0,Normal,No,,30000.0,27000.0,40000.0,1.4814814814814814,1.1111111111111112,0,,0,0,0,0,1.0
135000.0,0.0,0.0,Normal,No,,135000.0,0.0,0.0,,,0,,0,1,0,1,1.0
