Country Name,Country Code,Year,IC.FRM.BRIB.GRAFT2,IC.FRM.CORR.CORR1,IC.FRM.CORR.CORR11,IC.FRM.CORR.CRIME9,IC.FRM.CRM.CRIME1,IC.FRM.CRM.CRIME2_C,IC.FRM.CRM.CRIME3_C,IC.FRM.CRM.CRIME8,IC.FRM.EMP.GROW.PEFT2,IC.FRM.FCHAR.CAR2,IC.FRM.FCHAR.CAR7,IC.FRM.FCHAR.CAR8,IC.FRM.FIAS.PEFT4,IC.FRM.FIN.FIN1,IC.FRM.FIN.FIN10,IC.FRM.FIN.FIN11,IC.FRM.FIN.FIN12,IC.FRM.FIN.FIN13,IC.FRM.FIN.FIN14,IC.FRM.FIN.FIN16,IC.FRM.FIN.FIN2,IC.FRM.FIN.FIN20,IC.FRM.FIN.FIN21,IC.FRM.FIN.FIN22,IC.FRM.FIN.FIN7,IC.FRM.GEN.GEND1,IC.FRM.GEN.GEND6,IC.FRM.INFOR.INFOR1,IC.FRM.INFOR.INFOR2,IC.FRM.INFRA.IN10_C,IC.FRM.INFRA.IN11,IC.FRM.INFRA.IN12,IC.FRM.INFRA.IN4_C,IC.FRM.OBS.OBST1,IC.FRM.OBS.OBST12,IC.FRM.OBS.OBST13,IC.FRM.OBS.OBST14,IC.FRM.OBS.OBST4,IC.FRM.OBS.OBST8,IC.FRM.PROD.GROW.PEFT3,IC.FRM.REG.BUS5,IC.FRM.REG.REG2_C,IC.FRM.REG.REG4,IC.FRM.REG.REG5,IC.FRM.REG.REG6,IC.FRM.SLS.GROW.PEFT1,IC.FRM.TRD.TR16,IC.FRM.TRD.TR17,IC.FRM.TRD.TR5,IC.FRM.TRD.TR9,IC.FRM.WRKF.WK10,IC.FRM.WRKF.WK9
Afghanistan,AFG,2014,34.6,34.0,62.6,40.8,29.5,6.2,24.2,57.5,6.9,100.0,0.0,0.0,28.5,84.5,197.0,70.7,2.0,3.9,5.1,47.6,1.5,45.0,7.6,3.8,1.2,2.2,0.5,41.5,33.5,38.3,42.1,65.8,9.6,12.1,1.0,0.7,5.0,16.2,10.2,-1.3,27.6,1.5,45.9,39.1,80.5,3.0,2.3,5.9,1.3,46.5,52.5,11.0
Albania,ALB,2013,17.6,18.4,20.1,1.3,53.9,4.2,1.3,5.2,3.5,93.1,6.2,0.0,22.1,81.7,266.9,87.4,12.4,23.0,29.4,8.4,6.9,71.0,3.8,15.2,8.7,13.1,8.0,46.3,23.8,10.5,5.0,20.3,5.7,12.7,19.9,11.9,11.3,5.7,14.2,-6.6,3.2,5.7,14.5,13.4,92.2,-3.5,8.7,12.0,5.2,3.1,6.0,1.7
Albania,ALB,2019,30.0,34.6,43.4,40.0,67.4,2.3,4.5,19.9,7.1,94.4,5.3,0.0,44.4,80.2,177.3,89.5,21.5,30.4,37.8,21.2,12.6,70.3,0.0,5.6,10.8,20.7,16.9,44.7,37.2,11.9,10.7,43.0,1.9,3.1,11.3,3.7,21.1,8.4,8.0,-2.6,16.9,5.7,48.8,29.0,93.2,3.1,14.9,16.4,10.1,7.7,24.8,7.7
Argentina,ARG,2017,7.1,6.0,50.0,39.5,61.9,1.4,1.8,14.0,-0.7,96.7,2.8,0.0,44.3,61.2,219.4,47.8,40.9,29.6,42.4,23.1,23.0,40.5,4.3,57.6,7.8,57.8,7.9,72.5,31.1,3.5,22.8,47.2,0.8,5.3,5.3,7.8,35.9,1.7,2.1,-6.5,25.0,3.3,79.0,59.8,41.1,-6.6,6.8,8.4,2.3,20.0,39.7,49.0
Armenia,ARM,2013,7.0,6.1,15.0,1.9,44.8,2.5,5.3,4.6,1.8,92.5,10.5,0.0,30.5,63.7,258.0,88.0,22.1,43.0,47.3,26.3,14.7,46.1,3.5,23.0,18.2,24.4,10.5,16.5,10.7,5.0,9.6,8.2,0.2,8.1,6.1,22.2,24.7,4.8,0.8,-0.9,4.5,1.7,37.1,28.3,76.0,0.7,7.3,9.1,4.1,21.5,7.7,2.3
Armenia,ARM,2020,1.3,0.1,14.0,6.1,46.6,1.0,1.3,18.7,3.4,94.8,6.4,0.0,32.7,70.5,207.5,71.7,23.1,35.7,40.9,31.6,14.3,35.2,2.7,8.3,13.5,27.4,18.1,28.9,20.6,6.2,8.9,26.4,0.7,29.7,12.9,3.9,10.2,3.8,0.8,3.2,1.1,1.4,25.0,6.4,59.6,5.8,14.2,15.6,7.3,6.1,35.9,3.6
Azerbaijan,AZE,2013,13.5,12.4,4.3,0.6,45.3,3.4,2.9,0.5,0.7,100.0,0.0,0.0,15.7,79.9,238.7,87.5,24.4,16.9,15.5,22.1,19.4,50.7,25.5,5.2,5.0,4.0,2.1,19.6,7.5,3.9,3.0,1.0,1.0,31.2,29.9,5.7,12.1,3.7,0.8,-13.1,3.4,2.0,4.1,4.6,83.3,-13.4,1.3,2.3,0.4,1.2,0.4,0.2
Azerbaijan,AZE,2019,8.7,9.7,5.6,2.4,63.0,2.8,3.5,7.9,7.5,93.5,6.1,0.0,34.1,77.5,198.6,77.8,0.0,19.4,16.8,10.9,0.0,64.5,10.2,5.6,6.8,15.3,10.5,29.9,21.7,12.2,1.2,5.7,1.5,23.7,28.4,2.4,2.3,7.9,2.7,-3.2,2.3,1.9,5.8,3.7,42.4,5.4,9.0,15.3,3.6,7.3,7.8,0.4
Bangladesh,BGD,2013,43.9,41.0,49.6,10.1,78.3,1.9,3.9,8.0,4.7,98.4,1.9,0.2,22.6,74.5,271.1,84.4,19.8,29.9,34.1,22.8,12.4,41.9,15.6,10.5,13.6,12.7,1.7,39.4,9.1,26.1,14.6,52.0,5.5,13.8,1.2,0.5,1.4,7.9,27.8,-2.3,9.0,3.2,7.3,10.8,59.4,2.4,17.9,21.8,14.9,6.2,15.7,3.4
Belarus,BLR,2013,3.8,3.0,11.3,1.5,59.5,1.6,1.9,7.5,4.3,86.0,11.4,8.0,48.3,78.9,155.7,83.0,28.0,33.3,31.8,15.8,13.2,41.1,5.0,16.4,11.4,46.2,17.6,44.7,12.1,12.8,8.2,15.2,0.3,18.0,13.0,0.8,23.0,3.9,0.3,4.5,8.0,1.3,24.5,4.1,37.0,9.0,14.3,21.5,7.5,9.5,18.0,4.5
