business_id,county,sector,business_age_months,employees,monthly_revenue_kes,monthly_expenses_kes,total_assets_kes,total_liabilities_kes,loan_amount_kes,mpesa_volume_kes,expense_ratio,debt_to_asset_ratio,age_risk_factor,mpesa_dependency,distress_label
MSME_00000,Mombasa,Digital Commerce,103,15,69956.64,57239.43,54653.04,33300.95,74297.39,47382.18,0.8182012715123037,0.6093044539799802,0.009615384615384616,0.6772981478506136,1
MSME_00001,Kisumu,Construction,52,1,204523.61,134370.03,1084686.49,575481.67,0.0,139924.33,0.6569870980318702,0.5305506657959151,0.018867924528301886,0.6841442210793116,0
MSME_00002,Thika,Manufacturing,93,5,164160.29,174074.09,188031.92,110086.08,0.0,131168.13,1.0603845157405865,0.5854617372319698,0.010638297872340425,0.7990198541933973,1
MSME_00003,Nakuru,Manufacturing,15,10,350911.73,316756.2,279774.52,180768.18,44524.97,219436.17,0.9026637477642946,0.6461186454054307,0.0625,0.6253297507901752,1
MSME_00004,Nairobi,Digital Commerce,107,1,119510.33,117123.15,5870586.02,1401686.01,0.0,104834.82,0.980017124736207,0.2387641994275387,0.009259259259259259,0.8771956600265431,0
MSME_00005,Eldoret,Digital Commerce,72,2,45857.01,44729.85,222839.01,75990.38,0.0,27210.08,0.9753988452617111,0.34100869049503274,0.0136986301369863,0.593355010389679,1
MSME_00006,Kisumu,Retail,61,5,329121.49,349817.78,681810.94,469763.04,441310.22,281437.35,1.0628802060898361,0.6889920994930069,0.016129032258064516,0.8551143071383545,1
MSME_00007,Mombasa,Transport,21,2,48666.17,32748.11,202794.14,46857.45,80327.79,42942.62,0.6728994104239059,0.23105805198290252,0.045454545454545456,0.8823734768222603,0
MSME_00008,Nakuru,Agriculture,103,1,813304.92,783091.03,1835865.48,689169.42,0.0,477354.1,0.9628492929204302,0.3753919075857848,0.009615384615384616,0.5869305611349785,1
MSME_00009,Nakuru,Construction,83,1,233460.77,213925.64,1191509.23,754443.33,74082.82,201765.46,0.9163197897454475,0.6331824192562744,0.011904761904761904,0.8642334031820285,1
MSME_00010,Kisumu,Construction,87,1,73211.46,45170.99,1410933.69,1199464.06,13910.46,60120.01,0.6169850050114419,0.8501201852227477,0.011363636363636364,0.8211718333190825,0
MSME_00011,Eldoret,Agriculture,75,10,403790.56,287007.3,2833556.6,454049.58,0.0,360774.77,0.7107808295943581,0.16024010946521786,0.013157894736842105,0.8934678327600508,0
MSME_00012,Eldoret,Agriculture,75,3,132033.5,98650.72,486322.99,249604.61,1990.49,96316.56,0.7471586592898068,0.5132475780189252,0.013157894736842105,0.7294802494802495,0
